,enrollmentProbabilityScore,enrollFlag,RET_T2,RET_T3,ADM,CAN,Gender,Core_Ind,Parent_Same_LastName,ACU_Distance,PRIZM_HouseholdIncome,QUAL_Familiarity,QUAL_Rank,HS_SIZE,HS_RankPercent,HS_GPA_CALC,NUM_Advanced_Courses,ACT,Visited,Taylor_County,US,Abilene,Texas,CoC,Ethnicity
26758,2.0,0,0,0,1,1,1,0,2,184.0,82267.0,3.0,4.0,499.0,85.77,3.36,12.0,20.0,1,0,1,0,1,1,2
26764,4.0,0,0,0,0,1,1,0,2,221.0,59649.0,0.0,0.0,106.0,15.09,2.957,10.0,21.0,0,0,1,0,1,0,2
26767,3.0,0,0,0,1,0,2,0,2,147.0,47651.0,0.0,0.0,531.0,72.5,3.7760000000000002,11.0,20.0,0,0,1,0,1,0,2
26769,,0,0,0,1,1,2,0,2,155.0,28095.0,2.0,1.0,110.0,85.45,3.73,10.0,22.0,0,0,1,0,1,0,4
26770,2.0,1,1,1,1,0,2,1,2,162.0,51108.0,3.0,2.0,569.0,85.06,3.565,9.0,21.0,1,0,1,0,1,1,1
26771,3.0,1,1,1,1,0,2,0,2,171.0,88841.0,3.0,3.0,438.0,87.9,3.91,7.0,23.0,1,0,1,0,1,0,3
26772,6.0,0,0,0,1,1,1,0,2,389.0,28750.0,1.0,4.0,630.0,78.25,3.1180000000000003,7.0,19.0,0,0,1,0,1,0,3
26774,4.0,1,1,1,1,0,1,1,2,561.0,98951.0,4.0,3.0,435.0,47.36,3.25,3.0,23.0,1,0,1,0,0,0,1
26775,1.0,1,0,0,1,0,2,0,2,7.0,87500.0,4.0,5.0,493.0,76.47,3.614,11.0,24.0,0,0,1,1,1,0,3
26776,1.0,1,0,0,1,0,2,0,2,7.0,87500.0,4.0,5.0,493.0,76.47,2.93,11.0,24.0,0,0,1,1,1,0,3
26787,,0,0,0,1,0,1,0,2,1615.0,69660.0,0.0,0.0,283.0,94.7,3.68,11.0,27.0,0,0,1,0,0,0,4
26791,6.0,0,0,0,1,1,2,0,2,344.0,59067.0,1.0,3.0,52.0,82.69,3.4,11.0,26.0,0,0,1,0,1,0,1
26792,3.0,0,0,0,1,1,2,0,2,212.0,69411.0,3.0,3.0,714.0,93.84,4.0,12.0,26.0,0,0,1,0,1,0,4
26798,1.0,1,1,1,1,0,1,0,2,133.0,40969.0,4.0,4.0,169.0,87.57,3.61,11.0,18.0,1,0,1,0,1,0,3
26799,,0,0,0,1,0,2,0,2,68.0,45216.0,2.0,2.0,11.0,90.91,3.77,1.0,23.0,0,0,1,1,1,0,1
26800,1.0,1,1,1,1,0,1,0,2,306.0,38016.0,3.0,4.0,220.0,92.73,3.83,10.0,26.0,1,0,1,0,1,0,3
26801,5.0,1,1,1,1,0,1,0,2,1086.0,82809.0,3.0,4.0,346.0,73.12,3.17,4.0,23.0,1,0,1,0,0,1,1
26808,4.0,1,1,1,1,0,1,1,2,142.0,46500.0,1.0,4.0,614.0,88.44,3.44,12.0,22.0,1,0,1,0,1,1,2
26813,3.0,0,0,0,1,1,1,0,2,139.0,103681.0,3.0,3.0,599.0,98.0,3.98,12.0,25.0,1,0,1,0,1,0,4
26815,5.0,0,0,0,1,1,1,0,2,240.0,64216.0,3.0,3.0,346.0,88.73,3.76,13.0,30.0,0,0,1,0,1,0,4
26820,,0,0,0,1,1,1,0,2,646.0,67980.0,3.0,4.0,449.0,80.85,3.54,8.0,28.0,1,0,1,0,0,0,2
26825,,0,0,0,1,1,1,0,2,277.0,39142.0,0.0,0.0,137.0,99.27,4.0,8.0,28.0,0,0,1,0,1,0,1
26830,6.0,0,0,0,1,1,1,1,2,173.0,84958.0,2.0,2.0,445.0,92.81,3.83,10.0,26.0,1,0,1,0,1,1,1
26832,1.0,1,1,1,1,0,2,1,2,4.0,27679.0,3.0,5.0,429.0,89.51,4.1610000000000005,3.0,25.0,1,0,1,1,1,0,3
26833,6.0,0,0,0,1,1,2,0,2,432.0,83430.0,2.0,1.0,398.0,35.18,2.91,4.0,27.0,1,0,1,0,0,0,1
26835,6.0,0,0,0,0,1,1,0,2,158.0,43056.0,3.0,4.0,526.0,61.41,2.96,4.0,15.0,1,0,1,0,1,0,4
26838,6.0,0,0,0,0,1,2,0,2,150.0,66422.0,1.0,1.0,483.0,62.11,3.04,4.0,16.0,0,0,1,0,1,0,2
26839,6.0,0,0,0,0,1,1,0,2,223.0,31413.0,0.0,0.0,250.0,56.4,3.117,4.0,14.0,0,0,1,0,1,0,3
26841,,1,1,1,1,0,1,0,2,104.0,57741.0,3.0,3.0,204.0,93.63,3.49,12.0,23.0,1,0,1,0,1,0,3
